costat,curcd,datafmt,indfmt,consol,sic,datadate,gvkey,conm,tic,fyear,at,ceq,dltt,lse,ni,revt,xrd,csho,prcc_f,sich,mkt_cap,industry,boardid,companyid,datestartrole,directorid,directorname,companyname,rolename,dateendrole,datestartroleflag,dateendroleflag,seniority,UG,top20_ug,MBA,top20_mba,PhD,top20_phd,MD,top20_md,Master's,top20_masters,dob,gender,diversitynetworklabel,execid,year,salary,bonus,tdc1,stock_awards_fv,cash_comp,pct_equity
I,USD,STD,INDL,C,7372,12/31/15,61676,CITRIX SYSTEMS INC,CTXS,2015,5481.438,1973.446,1324.992,5481.438,319.361,3275.594,563.975,153.817,75.65,7372.0,11636.256050000002,Software,6959.0,6959.0,2015-10-20,52347.0,Bob Calderoni,CITRIX SYSTEMS INC (De-listed 09/2022),Chairman/Interim President/CEO,2016-01-25,10.0,10.0,Executive Director,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1959-06-15,M,,14304.0,2015.0,430.556,0.0,19894.514,18517.329,430.556,0.9307756399578297
I,USD,STD,INDL,C,7372,12/31/16,61676,CITRIX SYSTEMS INC,CTXS,2016,6390.227,2608.727,0.0,6390.227,536.112,3418.265,489.265,156.299,89.31,7372.0,13959.06369,Software,6959.0,6959.0,2016-01-25,272180.0,Kirill Tatarinov,CITRIX SYSTEMS INC (De-listed 09/2022),President/CEO,2017-07-07,10.0,10.0,Executive Director,,,,,,,,,,,,,,23462.0,2016.0,937.5,0.0,22273.969,18774.012,937.5,0.8428678337479951
I,USD,STD,INDL,C,7372,12/31/17,61676,CITRIX SYSTEMS INC,CTXS,2017,5820.176,992.461,2127.474,5820.176,-20.719,2824.686,415.801,143.707,88.0,7372.0,12646.216,Software,6959.0,6959.0,2017-07-10,205153.0,David Henshall,CITRIX SYSTEMS INC (De-listed 09/2022),President/CEO,2021-10-01,10.0,10.0,Executive Director,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1969-06-15,M,,26385.0,2017.0,860.834,0.0,9612.475,7928.371,860.834,0.8248001685309975
I,USD,STD,INDL,C,7372,12/31/18,61676,CITRIX SYSTEMS INC,CTXS,2018,5136.049,551.519,741.825,5136.049,575.667,2973.903,439.984,131.434,102.46,7372.0,13466.72764,Software,6959.0,6959.0,2017-07-10,205153.0,David Henshall,CITRIX SYSTEMS INC (De-listed 09/2022),President/CEO,2021-10-01,10.0,10.0,Executive Director,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1969-06-15,M,,26385.0,2018.0,1000.0,0.0,19258.103,15648.05,1000.0,0.8125436861564195
I,USD,STD,INDL,C,7372,12/31/19,61676,CITRIX SYSTEMS INC,CTXS,2019,4388.926,837.656,952.308,4388.926,681.813,3010.564,518.877,130.067,110.9,7372.0,14424.430300000002,Software,6959.0,6959.0,2017-07-10,205153.0,David Henshall,CITRIX SYSTEMS INC (De-listed 09/2022),President/CEO,2021-10-01,10.0,10.0,Executive Director,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1969-06-15,M,,26385.0,2019.0,1000.0,0.0,14513.856,11482.59,1000.0,0.7911467496990462
I,USD,STD,INDL,C,7372,12/31/20,61676,CITRIX SYSTEMS INC,CTXS,2020,4890.347,112.143,1928.389,4890.347,504.446,3236.7,538.08,122.521,130.1,7372.0,15939.9821,Software,6959.0,6959.0,2017-07-10,205153.0,David Henshall,CITRIX SYSTEMS INC (De-listed 09/2022),President/CEO,2021-10-01,10.0,10.0,Executive Director,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1969-06-15,M,,26385.0,2020.0,1000.0,0.0,22596.498,18685.309,1000.0,0.8269117187981961
I,USD,STD,INDL,C,7372,9/30/15,61685,NUANCE COMMUNICATIONS INC,NUAN,2015,5585.345,2265.252,2118.821,5585.345,-115.01,1931.136,310.332,309.781,16.37,7372.0,5071.1149700000005,Software,27190.0,27190.0,2000-08-21,275794.0,Paul Ricci,NUANCE COMMUNICATIONS INC (Scansoft Inc prior to 10/2005) (De-listed 03/2022),Chairman/CEO,2018-02-28,10.0,10.0,Executive Director,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1956-06-15,M,,,,,,,,,
I,USD,STD,INDL,C,8731,6/30/15,61600,PAREXEL INTERNATIONAL CORP,PRXL,2015,1865.021,665.286,345.374,1865.021,147.821,2330.274,24.0,55.237,64.31,8731.0,3552.29147,Biotech,23799.0,23799.0,2012-07-01,324013.0,Josef Von Rickenbach,PAREXEL INTERNATIONAL CORP (De-listed 09/2017),Chairman/CEO,2017-09-29,10.0,10.0,Executive Director,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1954-06-15,M,,14287.0,2015.0,933.6,400.435,5356.544,2079.46,1334.035,0.38820926328617855
I,USD,STD,INDL,C,7372,9/30/16,61685,NUANCE COMMUNICATIONS INC,NUAN,2016,5661.47,1931.33,2433.152,5661.47,-12.458,1948.903,271.13,287.633,14.5,7372.0,4170.6785,Software,27190.0,27190.0,2000-08-21,275794.0,Paul Ricci,NUANCE COMMUNICATIONS INC (Scansoft Inc prior to 10/2005) (De-listed 03/2022),Chairman/CEO,2018-02-28,10.0,10.0,Executive Director,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1956-06-15,M,,,,,,,,,
I,USD,STD,INDL,C,7372,9/30/17,61685,NUANCE COMMUNICATIONS INC,NUAN,2017,5931.923,1931.382,2241.283,5931.923,-150.996,1939.362,266.097,290.187,15.72,7372.0,4561.739640000001,Software,27190.0,27190.0,2000-08-21,275794.0,Paul Ricci,NUANCE COMMUNICATIONS INC (Scansoft Inc prior to 10/2005) (De-listed 03/2022),Chairman/CEO,2018-02-28,10.0,10.0,Executive Director,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1956-06-15,M,,,,,,,,,
I,USD,STD,INDL,C,7372,9/30/18,61685,NUANCE COMMUNICATIONS INC,NUAN,2018,5302.379,1717.496,2185.361,5302.379,-159.928,2051.661,305.323,287.753,17.32,7372.0,4983.88196,Software,27190.0,27190.0,2018-04-23,745229.0,Mark Benjamin,NUANCE COMMUNICATIONS INC (Scansoft Inc prior to 10/2005) (De-listed 03/2022),CEO,2022-03-04,10.0,10.0,Executive Director,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-06-15,M,,48198.0,,,,,,,
I,USD,STD,INDL,C,7372,9/30/19,61685,NUANCE COMMUNICATIONS INC,NUAN,2019,5365.793,2155.006,793.536,5365.793,213.81,1823.092,275.886,285.93,16.31,7372.0,4663.5183,Software,27190.0,27190.0,2018-04-23,745229.0,Mark Benjamin,NUANCE COMMUNICATIONS INC (Scansoft Inc prior to 10/2005) (De-listed 03/2022),CEO,2022-03-04,10.0,10.0,Executive Director,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-06-15,M,,48198.0,,,,,,,
I,USD,STD,INDL,C,7372,9/30/20,61685,NUANCE COMMUNICATIONS INC,NUAN,2020,3593.332,1143.933,1212.085,3593.332,21.396,1478.899,226.234,282.952,33.19,7372.0,9391.17688,Software,27190.0,27190.0,2018-04-23,745229.0,Mark Benjamin,NUANCE COMMUNICATIONS INC (Scansoft Inc prior to 10/2005) (De-listed 03/2022),CEO,2022-03-04,10.0,10.0,Executive Director,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-06-15,M,,48198.0,,,,,,,
I,USD,STD,INDL,C,7372,9/30/21,61685,NUANCE COMMUNICATIONS INC,NUAN,2021,3386.653,1634.934,580.215,3386.653,-26.726,1362.379,249.2,315.651,55.04,7372.0,17373.43104,Software,27190.0,27190.0,2018-04-23,745229.0,Mark Benjamin,NUANCE COMMUNICATIONS INC (Scansoft Inc prior to 10/2005) (De-listed 03/2022),CEO,2022-03-04,10.0,10.0,Executive Director,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970-06-15,M,,48198.0,,,,,,,
A,USD,STD,INDL,C,2836,12/31/20,62921,NEUROCRINE BIOSCIENCES INC,NBIX,2020,1734.7,1126.2,412.3,1734.7,407.3,1045.9,439.5,93.5,95.85,2836.0,8961.975,Biotech,21929.0,21929.0,2017-11-20,206587.0,Doctor Kevin Gorman,NEUROCRINE BIOSCIENCES INC,President/CEO,2024-10-11,10.0,10.0,Executive Director,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1957-06-15,M,,60255.0,2020.0,775.0,542.5,13880.632,5375.188,1317.5,0.38724375086091184
A,USD,STD,INDL,C,2836,12/31/21,62921,NEUROCRINE BIOSCIENCES INC,NBIX,2021,2072.5,1374.0,440.4,2072.5,89.6,1133.5,433.4,94.9,85.17,2836.0,8082.633000000001,Biotech,21929.0,21929.0,2017-11-20,206587.0,Doctor Kevin Gorman,NEUROCRINE BIOSCIENCES INC,President/CEO,2024-10-11,10.0,10.0,Executive Director,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1957-06-15,M,,60255.0,2021.0,825.0,701.25,14081.412,6406.366,1526.25,0.4549519607834782
A,USD,STD,INDL,C,2836,12/31/22,62921,NEUROCRINE BIOSCIENCES INC,NBIX,2022,2368.7,1707.8,93.5,2368.7,154.5,1488.7,463.8,96.5,119.44,2836.0,11525.96,Biotech,21929.0,21929.0,2017-11-20,206587.0,Doctor Kevin Gorman,NEUROCRINE BIOSCIENCES INC,President/CEO,2024-10-11,10.0,10.0,Executive Director,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1957-06-15,M,,60255.0,2022.0,860.0,989.0,11902.527,5125.079,1849.0,0.4305874710471146
A,USD,STD,INDL,C,2836,12/31/23,62921,NEUROCRINE BIOSCIENCES INC,NBIX,2023,3251.4,2232.0,258.3,3251.4,249.7,1887.1,708.9,98.7,131.76,2836.0,13004.712,Biotech,21929.0,21929.0,2017-11-20,206587.0,Doctor Kevin Gorman,NEUROCRINE BIOSCIENCES INC,President/CEO,2024-10-11,10.0,10.0,Executive Director,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1957-06-15,M,,60255.0,2023.0,946.0,1040.6,15750.812,7021.386,1986.6,0.4457793033146482
A,USD,STD,INDL,C,2836,12/31/24,62921,NEUROCRINE BIOSCIENCES INC,NBIX,2024,3718.7,2589.7,455.1,3718.7,341.3,2355.3,743.6,99.4,136.5,2836.0,13568.1,Biotech,21929.0,21929.0,2024-10-11,1313292.0,Doctor Kyle Gano,NEUROCRINE BIOSCIENCES INC,President/CEO,2027-01-01,10.0,40.0,Executive Director,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1972-06-15,M,,60254.0,2024.0,698.217,536.906,8535.422,3700.106,1235.123,0.4335000659604177
A,USD,STD,INDL,C,2836,12/31/25,62921,NEUROCRINE BIOSCIENCES INC,NBIX,2025,4631.5,3253.1,415.3,4631.5,478.6,2860.5,1033.1,100.1,141.83,2836.0,14197.183,Biotech,21929.0,21929.0,2024-10-11,1313292.0,Doctor Kyle Gano,NEUROCRINE BIOSCIENCES INC,President/CEO,2027-01-01,10.0,40.0,Executive Director,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1972-06-15,M,,60254.0,,,,,,,
I,USD,STD,INDL,C,7372,12/31/17,63080,ANSYS INC,ANSS,2017,2941.623,2245.831,0.0,2941.623,259.251,1095.25,202.746,84.192,147.59,7372.0,12425.89728,Software,2257.0,2257.0,2017-01-01,545851.0,Doctor Ajei Gopal,ANSYS INC (De-listed 07/2025),President/CEO,2025-07-17,10.0,10.0,Executive Director,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1961-06-15,M,,41809.0,2017.0,750.0,205.537,10299.056,8339.153,955.537,0.8097007143178947
I,USD,STD,INDL,C,7372,12/31/18,63080,ANSYS INC,ANSS,2018,3265.964,2649.547,0.0,3265.964,419.375,1293.636,233.802,83.634,142.94,7372.0,11954.64396,Software,2257.0,2257.0,2017-01-01,545851.0,Doctor Ajei Gopal,ANSYS INC (De-listed 07/2025),President/CEO,2025-07-17,10.0,10.0,Executive Director,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1961-06-15,M,,41809.0,2018.0,768.75,210.0,10164.184,8214.921,978.75,0.808222381649132
I,USD,STD,INDL,C,8731,6/30/16,61600,PAREXEL INTERNATIONAL CORP,PRXL,2016,2036.2,633.4,484.8,2036.2,154.9,2426.3,19.2,52.9,62.88,8731.0,3326.352,Biotech,23799.0,23799.0,2012-07-01,324013.0,Josef Von Rickenbach,PAREXEL INTERNATIONAL CORP (De-listed 09/2017),Chairman/CEO,2017-09-29,10.0,10.0,Executive Director,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1954-06-15,M,,14287.0,2016.0,966.874,679.4,5765.573,1984.292,1646.274,0.3441621500586325
A,USD,STD,INDL,C,3572,4/30/25,61591,NETAPP INC,NTAP,2024,10823.0,1040.0,2701.0,10823.0,1186.0,6572.0,1012.0,201.0,89.75,3572.0,18039.75,Semiconductors/Hardware,21903.0,21903.0,2020-07-01,1448606.0,George Kurian,NETAPP INC (Network Appliance Inc prior to 03/2008),CEO,2027-01-01,10.0,40.0,Executive Director,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1966-06-15,M,,46535.0,2024.0,1000.0,0.0,17243.342,14568.454,1000.0,0.8448741549057021
I,USD,STD,INDL,C,7372,12/31/20,63080,ANSYS INC,ANSS,2020,5940.59,4097.872,919.058,5940.59,433.887,1681.297,355.371,86.572,363.8,7372.0,31494.893600000003,Software,2257.0,2257.0,2017-01-01,545851.0,Doctor Ajei Gopal,ANSYS INC (De-listed 07/2025),President/CEO,2025-07-17,10.0,10.0,Executive Director,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1961-06-15,M,,41809.0,2020.0,818.75,247.5,14089.533,12276.512,1066.25,0.871321427048008
A,USD,STD,INDL,C,7372,12/31/25,60849,FIGMA INC,FIG,2025,2348.207,1510.641,55.845,2348.207,-1250.463,1055.788,1029.7,513.043,37.37,7372.0,19172.41691,Software,2159823.0,2159823.0,2009-10-23,731568.0,Barry Allan,CI FIRST ASSET INVESTMENT GRADE BOND ETF (First Asset Investment Grade Bond ETF prior to 04/2019),President/CEO/Chief Investment Officer,2027-01-01,10.0,40.0,Executive Director,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900-01-01,M,,,,,,,,,
I,USD,STD,INDL,C,7371,12/31/22,39482,THOUGHTWORKS HOLDG INC,TWKS,2022,1461.85,778.222,421.741,1461.85,-105.393,1296.238,,315.682,10.19,7371.0,3216.79958,Software,3449260.0,3449260.0,2021-09-15,1975125.0,Guo Xiao,THOUGHTWORKS HOLDING INC (De-listed 11/2024),President/CEO,2024-06-17,10.0,10.0,Executive Director,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1974-06-15,M,,,,,,,,,
I,USD,STD,INDL,C,7371,12/31/23,39482,THOUGHTWORKS HOLDG INC,TWKS,2023,1327.236,773.13,315.826,1327.236,-68.661,1126.816,,322.407,4.81,7371.0,1550.7776699999995,Software,3449260.0,3449260.0,2021-09-15,1975125.0,Guo Xiao,THOUGHTWORKS HOLDING INC (De-listed 11/2024),President/CEO,2024-06-17,10.0,10.0,Executive Director,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1974-06-15,M,,,,,,,,,
A,USD,STD,INDL,C,3674,12/31/21,39822,GLOBALFOUNDRIES INC,GFS,2021,15027.602,7975.526,2006.38,15027.602,-250.313,6585.079,478.161,531.846,64.97,3674.0,34554.03462,Semiconductors/Hardware,3469267.0,3469267.0,2021-10-28,453077.0,Doctor Tom Caulfield,GLOBALFOUNDRIES INC,President/CEO,2025-04-28,10.0,10.0,Executive Director,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1959-06-15,M,,31092.0,,,,,,,
A,USD,STD,INDL,C,3674,12/31/22,39822,GLOBALFOUNDRIES INC,GFS,2022,17841.0,9913.0,2558.0,17841.0,1448.0,8108.0,482.0,547.755,53.89,3674.0,29518.51695,Semiconductors/Hardware,3469267.0,3469267.0,2021-10-28,453077.0,Doctor Tom Caulfield,GLOBALFOUNDRIES INC,President/CEO,2025-04-28,10.0,10.0,Executive Director,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1959-06-15,M,,31092.0,,,,,,,
A,USD,STD,INDL,C,3674,12/31/23,39822,GLOBALFOUNDRIES INC,GFS,2023,18044.0,11104.0,2151.0,18044.0,1020.0,7392.0,428.0,553.548,60.6,3674.0,33545.0088,Semiconductors/Hardware,3469267.0,3469267.0,2021-10-28,453077.0,Doctor Tom Caulfield,GLOBALFOUNDRIES INC,President/CEO,2025-04-28,10.0,10.0,Executive Director,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1959-06-15,M,,31092.0,,,,,,,
A,USD,STD,INDL,C,3674,12/31/24,39822,GLOBALFOUNDRIES INC,GFS,2024,16799.0,10776.0,1477.0,16799.0,-265.0,6750.0,496.0,552.913,42.91,3674.0,23725.49683,Semiconductors/Hardware,3469267.0,3469267.0,2021-10-28,453077.0,Doctor Tom Caulfield,GLOBALFOUNDRIES INC,President/CEO,2025-04-28,10.0,10.0,Executive Director,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1959-06-15,M,,31092.0,,,,,,,
A,USD,STD,INDL,C,3674,12/31/25,39822,GLOBALFOUNDRIES INC,GFS,2025,17141.0,11928.0,1552.0,17141.0,885.0,6791.0,518.0,555.888,34.92,3674.0,19411.60896,Semiconductors/Hardware,3469267.0,3469267.0,2025-04-28,1398426.0,Tim Breen,GLOBALFOUNDRIES INC,CEO,2027-01-01,10.0,40.0,Executive Director,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1977-06-15,M,,,,,,,,,
A,USD,STD,INDL,C,3572,6/30/25,51008,SANDISK CORP,SNDK,2025,12985.0,9216.0,2022.0,12985.0,-1641.0,7355.0,1132.0,146.0,45.35,3572.0,6621.1,Semiconductors/Hardware,3929783.0,3929783.0,2025-02-24,1621914.0,David Goeckeler,SANDISK CORP,Chairman/CEO,2027-01-01,10.0,40.0,Executive Director,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1962-06-15,M,,,,,,,,,
A,USD,STD,INDL,C,7372,12/31/25,51461,CIRCLE INTERNET GROUP INC,CRCL,2025,78713.207,3329.327,11.978,78713.207,-69.508,2746.642,,242.259,79.3,7372.0,19211.1387,Software,3973318.0,3973318.0,2025-06-05,1201064.0,Jeremy Allaire,CIRCLE INTERNET GROUP INC,Chairman/CEO,2027-01-01,10.0,40.0,Executive Director,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1971-05-13,M,,,,,,,,,
A,USD,STD,INDL,C,8731,12/31/23,43026,FORTREA HOLDINGS INC,FTRE,2023,4357.2,1738.8,1632.4,4357.2,-3.4,3114.5,,88.8,34.9,8731.0,3099.12,Biotech,3659640.0,3659640.0,2023-06-30,1010281.0,Tom Pike,FORTREA HOLDINGS INC,Chairman/President/CEO,2025-05-13,10.0,10.0,Executive Director,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1959-06-15,M,,51778.0,2023.0,1078.846,0.0,16320.393,4128.946,1078.846,0.2529930498609929
A,USD,STD,INDL,C,8731,12/31/24,43026,FORTREA HOLDINGS INC,FTRE,2024,3579.2,1362.4,1110.3,3579.2,-328.5,2700.2,,89.7,18.65,8731.0,1672.905,Biotech,3659640.0,3659640.0,2023-06-30,1010281.0,Tom Pike,FORTREA HOLDINGS INC,Chairman/President/CEO,2025-05-13,10.0,10.0,Executive Director,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1959-06-15,M,,51778.0,2024.0,1108.461,0.0,1119.906,0.0,1108.461,0.0
A,USD,STD,INDL,C,8731,12/31/25,43026,FORTREA HOLDINGS INC,FTRE,2025,2715.7,563.5,1102.0,2715.7,-986.2,2723.4,,93.1,17.25,8731.0,1605.975,Biotech,3659640.0,3659640.0,2025-08-04,1908442.0,Anshul Thakral,FORTREA HOLDINGS INC,President/CEO,2027-01-01,10.0,40.0,Executive Director,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1977-06-15,M,,,,,,,,,
A,USD,STD,INDL,C,3674,3/31/24,43285,ARM HOLDINGS PLC,ARM,2023,7927.0,5295.0,194.0,7927.0,306.0,3233.0,1979.0,1040.33,124.99,3674.0,130030.84669999998,Semiconductors/Hardware,3684000.0,3684000.0,2023-09-14,1618087.0,Rene Haas,ARM HOLDINGS PLC,CEO,2027-01-01,10.0,40.0,Executive Director,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1962-07-23,M,,,,,,,,,
A,USD,STD,INDL,C,3674,3/31/25,43285,ARM HOLDINGS PLC,ARM,2024,8932.0,6839.0,316.0,8932.0,792.0,4007.0,2071.0,1056.514,106.79,3674.0,112825.13006,Semiconductors/Hardware,3684000.0,3684000.0,2023-09-14,1618087.0,Rene Haas,ARM HOLDINGS PLC,CEO,2027-01-01,10.0,40.0,Executive Director,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1962-07-23,M,,,,,,,,,
