directorid,directorname,companyname,awarddate,qualification,fulltextdescription,primarykeyid,companyid,awarddateflag
1768029,Adam Selipsky,Harvard University,1988-12-28,AB,,2298919,63830,25
1779146,Alessandro Maselli,Università degli Studi di Roma La Sapienza (La Sapienza University of Rome),9999-12-31,Masters Degree,,3065314,62703,80
1779146,Alessandro Maselli,Università degli Studi di Roma La Sapienza (La Sapienza University of Rome),9999-12-31,Bachelor's Degree,,3065313,62703,80
1788371,Mike Sicilia,Saint Joseph's University (SJU),9999-12-31,BS,,4339301,64795,80
1799113,Rob Michael,Indiana University Kelley School of Business,1992-12-28,Bachelor's Degree,,3649354,79674,25
1799113,Rob Michael,American Institute of Certified Public Accountants (AICPA),1994-02-28,Certified Public Accountant,,3649359,54373,15
1799113,Rob Michael,UCLA Anderson School of Management,2000-12-28,MBA,,3649356,2460934,25
1808923,Edward Kreps,University of California Santa Cruz (UCSC),2005-12-28,MS,,2371856,2361289,25
1808923,Edward Kreps,University of California Santa Cruz (UCSC),2002-12-28,BS,,2371857,2361289,25
1853290,Haviv Ilan,Kellogg School of Management Northwestern University,2005-12-28,International Executive MBA,,2452594,77878,25
1853290,Haviv Ilan,Leon Recanati Graduate School of Business Tel Aviv University,2005-12-28,MBA,,2452595,596698,25
1853290,Haviv Ilan,Tel Aviv University,1995-12-28,MSc (magna cum laude),,2452590,62031,25
1853290,Haviv Ilan,Tel Aviv University,1990-12-28,BSc (magna cum laude),,2452588,62031,25
1860271,Dylan Field,Sonoma State University,2009-12-28,Studied,,2498029,378257,25
1860271,Dylan Field,Brown University,2009-12-28,Studied,,2497871,60224,25
1864086,Sassine Ghazi,University of Tennessee,1995-12-28,MSEE,,2469292,64218,25
1864086,Sassine Ghazi,Georgia Institute of Technology (GIT) (Georgia Tech),1993-12-28,BSEE,,2469291,60751,25
1864086,Sassine Ghazi,University of Tennessee,1997-12-28,PhD,,2469305,64218,25
1864086,Sassine Ghazi,Lebanese American University (LAU),1991-12-28,Bachelor's Degree,,2469289,577859,25
1890670,Doctor Reshma Kewalramani,Harvard Business School Harvard University,2015-12-28,General Management Program,,2512130,63013,25
1890670,Doctor Reshma Kewalramani,Unknown Organisation,2003-12-28,Board Certified,,4340222,0,25
1890670,Doctor Reshma Kewalramani,Boston University,1998-12-28,BA (Hons),,2512131,60195,25
1890670,Doctor Reshma Kewalramani,Boston University Chobanian & Avedisian School of Medicine (Formerly known as School of Medicine Boston University),1998-12-28,MD (Hons),,2512129,530621,25
1890670,Doctor Reshma Kewalramani,Unknown Organisation,2001-12-28,Board Certified,,4340221,0,25
1890670,Doctor Reshma Kewalramani,Harvard TH Chan School of Public Health Harvard University,2003-12-28,Completed,,2512304,2309294,25
1908442,Anshul Thakral,Wharton School (The) University of Pennsylvania,2006-12-28,MBA,,2537741,64966,25
1908442,Anshul Thakral,Johns Hopkins University,2000-12-28,Masters Degree,,2537739,61026,25
1908442,Anshul Thakral,Johns Hopkins University,2000-12-28,BS,,2537737,61026,25
1931869,Doctor Mark Gitin,Cornell University  New York,9999-12-31,PhD,,2572715,60457,80
1931869,Doctor Mark Gitin,Cornell University  New York,9999-12-31,MEng,,3925251,60457,80
1931869,Doctor Mark Gitin,University of California Davis,9999-12-31,BS,,2572714,62216,80
1948850,Doctor Marianne De Backer,Harvard Business School Harvard University,2010-12-28,Studied,,2615459,63013,25
1948850,Doctor Marianne De Backer,Universiteit Gent (University of Ghent),2001-12-28,PhD (summa cum laude),,2614200,48939,25
1948850,Doctor Marianne De Backer,Stanford University,2015-12-28,Studied,,2615458,61935,25
1948850,Doctor Marianne De Backer,Erasmus Universiteit Rotterdam (Erasmus University Rotterdam),2004-12-28,MBA,,2614196,78416,25
1948850,Doctor Marianne De Backer,Universiteit Gent (University of Ghent),9999-12-31,Master of Science (MOS),,4091327,48939,80
1948850,Doctor Marianne De Backer,Institut Europeen d'Administration des Affaires (INSEAD) (European Institute of Business Administration),2009-12-28,Studied,,2615461,60651,25
1948850,Doctor Marianne De Backer,Vrije Universiteit Brussel (VUB) (Vrije University Brussels),1994-12-28,MSc (summa cum laude),,2614201,62872,25
1948850,Doctor Marianne De Backer,Wharton School (The) University of Pennsylvania,2016-12-28,Studied,,2615457,64966,25
1948850,Doctor Marianne De Backer,George Washington University (GW) (The),2016-12-28,Certificate,,2615456,60749,25
1948850,Doctor Marianne De Backer,Institut Europeen d'Administration des Affaires (INSEAD) (European Institute of Business Administration),2010-12-28,Studied,,2615460,60651,25
1948850,Doctor Marianne De Backer,Harvard Business School Harvard University,2017-12-28,Studied,,2615454,63013,25
1960636,Michelle Keefe,Seton Hall University,1988-12-28,BS,,2640642,61818,25
1962819,Gary Yu,University of Texas at Dallas,9999-12-31,MBA,,3206795,62743,80
1962819,Gary Yu,Fu Jen Catholic University,9999-12-31,Bachelor's Degree,,3206790,756623,80
1962819,Gary Yu,Southern Methodist University (SMU),1998-12-28,Masters Degree,,3206793,61882,25
1975125,Guo Xiao,Peking University,1996-12-28,BS,,2665661,78186,25
1975125,Guo Xiao,Northwestern University,1998-12-28,MS,,2665660,61494,25
1975125,Guo Xiao,Kellogg School of Management Northwestern University,2006-12-28,Executive Development Program,,2665659,77878,25
1981116,Chintu Patel,Ernest Mario School of Pharmacy Rutgers University (Formerly known as Rutgers College of Pharmacy),1994-12-28,BS,,2675081,1940955,25
1996477,Kenny Wilson,University of Edinburgh Business School,1999-12-28,MBA,,2696161,1568846,25
1996477,Kenny Wilson,University of Edinburgh,9999-12-31,Bachelor's Degree,,2696167,60610,80
2008711,Kim Kelderman,Zuyd University of Applied Sciences (Zuyd Hogeschool),9999-12-31,BS,,3280566,2908502,80
2025770,John Forsyth,University of Glasgow,1995-12-28,Graduated,,2739629,60760,25
2032686,Matt Johnson,Harvard Business School Harvard University,9999-12-31,Completed,,3983352,63013,80
2032686,Matt Johnson,University of Maine,2000-12-28,BSEE,,2796241,62432,25
2032686,Matt Johnson,Stanford University,9999-12-31,Completed,,3983353,61935,80
2033434,Michael Goettler,Wissenschaftliche Hochschule Fur Unternehmensfuhrung (WHU) Otto Beisheim School of Management,1992-12-28,Graduated (summa cum laude),,2797841,62873,25
2033434,Michael Goettler,University of Texas at Austin (UT Austin),1993-12-28,MBA (summa cum laude),,2797837,62742,25
2107029,John Jacobs,State University of New York Plattsburgh,1992-12-28,MBA,,2869963,1235039,25
2107029,John Jacobs,State University of New York Plattsburgh,1989-12-28,BS,,2869960,1235039,25
2113430,Alex Hardy,University of Cambridge,1990-12-28,MA,,2880091,60268,25
2113430,Alex Hardy,University of Michigan,1992-12-28,MBA,,2880092,63187,25
2118690,Andrew Dudum,Wharton School (The) University of Pennsylvania,9999-12-31,Bachelor's Degree,,2891107,64966,80
2132665,Clay Magouyrk,University of Memphis (UoM),2007-12-28,BS,,2916648,97372,25
2177363,Travis Dalton,Ohio State University (OSU),1997-12-28,Masters Degree,,3002543,61523,25
2177363,Travis Dalton,Wright State University (WSU),1993-12-28,Bachelor's Degree,,3002544,374267,25
2179602,Doctor Yuan Xu,University of California San Diego School of Medicine,1995-12-28,Postdoctoral Fellow,,3006025,1221266,25
2179602,Doctor Yuan Xu,University of Maryland College Park,1993-12-28,PhD,,3005760,62449,25
2179602,Doctor Yuan Xu,NanJing University,1989-12-28,BS,,3005759,61360,25
2204699,Rahul Patel,Santa Clara University (SCU),1998-12-28,MBA,,3047245,61782,25
2204699,Rahul Patel,Arizona State University,1993-12-28,MS,,3047246,60074,25
2204699,Rahul Patel,National Institute of Technology Warangal,1991-12-28,BTech,,3047248,1552394,25
2250110,Jared Kelly,Georgetown University Law Center (Georgetown Law School),2012-12-28,JD,,3130184,79195,25
2250110,Jared Kelly,Georgetown University Law Center (Georgetown Law School),2014-12-28,LLM,,3130186,79195,25
2250110,Jared Kelly,Florida State University,2007-12-28,BS (magna Cum Laude),,3130182,60692,25
2262605,Ravi Vig,Yale University,2017-12-28,Global Leadership Programme,,3152284,62981,25
2262605,Ravi Vig,Southern New Hampshire University (New Hampshire College prior to 07/2001),1989-12-28,MBA,,3152280,492266,25
2262605,Ravi Vig,Dartmouth College,1984-12-28,MSEE,,3152276,60488,25
2262605,Ravi Vig,State University of New Jersey Rutgers (Rutgers University),1982-12-28,BSEE,,3152271,100431,25
2277545,Giordano Albertazzi,Stanford University,2002-12-28,MS,,3178892,61935,25
2277545,Giordano Albertazzi,Polytechnic University of Milan,1992-12-28,Bachelor's Degree,,3178887,2925613,25
2295328,David Wilkinson,University of Texas at Arlington (The),2000-12-28,MBA,,3212074,62741,25
2295328,David Wilkinson,Stephen F Austin State University,1994-12-28,BBA (summa cum laude),,3212075,120101,25
2299828,Doctor Matthew Klein,Yale School of Medicine (Yale-New Haven Medical Center),1997-12-28,MD (Hons),,3218391,79150,25
2299828,Doctor Matthew Klein,Stanford University School of Medicine,2003-12-28,Completed,,3218396,79154,25
2299828,Doctor Matthew Klein,University of Washington School of Public Health and Community Medicine,9999-12-31,MS,,3218392,1244804,80
2299828,Doctor Matthew Klein,University of Pennsylvania,1993-12-28,BA (summa cum laude),,3218390,62579,25
2310470,Doctor Huang Ying,Columbia Business School Columbia University,2007-12-28,Studied,,3238444,63118,25
2310470,Doctor Huang Ying,University of Science and Technology of China (USTC),9999-12-31,Studied,,3238443,464534,80
2310470,Doctor Huang Ying,Columbia University,9999-12-31,PhD,,3238440,60434,80
2347499,Catherine Owen Adams,University of London,1996-12-28,Postgraduate Degree,,3280584,62421,25
2347499,Catherine Owen Adams,University of Manchester (The),1992-12-28,BSc (Hons),,3280444,62441,25
2347499,Catherine Owen Adams,Royal Pharmaceutical Society of Great Britain (RPSGB) (Royal Pharmaceutical Society),9999-12-31,Registered Pharmacist (RPh),,3280582,45751,80
2400789,Mike Doogue,Stanford Graduate School of Business,2007-12-28,Executive Program,,3373883,67360,25
2400789,Mike Doogue,Colby College,1997-12-28,BA,,3373880,60394,25
2400789,Mike Doogue,Dartmouth College,1998-12-28,BE,,3373882,60488,25
2413290,Paddy Nicol,Simon Fraser University,1993-12-28,BA,,3645828,61839,25
2413290,Paddy Nicol,Royal Roads University,2005-12-28,MBA,,3645833,590383,25
2422313,Jesse Kaplan,CFA Institute (Association for Investment Management and Research prior to 2004),2007-12-28,CFA,,3408410,594747,25
2422313,Jesse Kaplan,Canadian Securities Course,2005-12-28,Certified,,3408409,1227054,25
2422313,Jesse Kaplan,University of Toronto,9999-12-31,BCom,,3407900,62752,80
2470210,Rafael Sotomayor,Harvard Business School Harvard University,9999-12-31,MBA,,3481287,63013,80
2470210,Rafael Sotomayor,Georgia Institute of Technology (GIT) (Georgia Tech),9999-12-31,MSEE,,3481288,60751,80
2470210,Rafael Sotomayor,Purdue University,9999-12-31,BSEE,,3481289,61638,80
2489439,Kevin Ali,University of California Berkeley,9999-12-31,BA,,3506903,62215,80
2489439,Kevin Ali,Santa Clara University (SCU),9999-12-31,MBA,,3506902,61782,80
2545410,Roger Milad,Vancouver College,9999-12-31,Diploma,,3597278,1196439,80
2545410,Roger Milad,British Columbia Institute of Technology (BCIT),9999-12-31,Training Program,,3597279,593626,80
2669292,Doctor Ian Sandler,Ontario Veterinary College (The) University of Guelph,1994-12-28,Doctor of Veterinary Medicine (DVM),,3788202,591891,25
2680998,Doctor Kirk Hollohan,Memorial University of Newfoundland,9999-12-31,Doctor of Medicine (DM),,3816681,121997,80
2680998,Doctor Kirk Hollohan,College of Family Physicians of Canada (FCFP),9999-12-31,Studied,,3816675,1224563,80
2680998,Doctor Kirk Hollohan,College of Family Physicians of Canada (FCFP),9999-12-31,Studied,,3816679,1224563,80
2680998,Doctor Kirk Hollohan,Memorial University of Newfoundland,9999-12-31,Bachelor of Medical Sciences (BMS),,3816683,121997,80
2818371,Matt Badiali,Florida Atlantic University,9999-12-31,MS,,4030222,60686,80
2818371,Matt Badiali,Pennsylvania State University (Penn State University),9999-12-31,BS,,4030221,61582,80
2818371,Matt Badiali,University of North Carolina Chapel Hill,9999-12-31,PhD,,4030249,62533,80
3082984,James Xiao,Stanford University,9999-12-31,Executive Leadership,,4298628,61935,80
3082984,James Xiao,Dalian University of Technology,9999-12-31,BS,,4298626,1205521,80
3082984,James Xiao,Indiana University Kelley School of Business,9999-12-31,MBA,,4298627,79674,80
