companyid,datestartrole,directorid,directorname,companyname,rolename,dateendrole,datestartroleflag,dateendroleflag,seniority
23141,2025-06-11,2250110,Jared Kelly,ONCOLYTICS BIOTECH INC,CEO,9000-01-01,10,40,Executive Director
23295,2025-09-22,1788371,Mike Sicilia,ORACLE CORP,CEO,9000-01-01,10,40,Executive Director
23295,2025-09-22,2132665,Clay Magouyrk,ORACLE CORP,CEO,9000-01-01,10,40,Executive Director
23786,2024-10-01,544533,Neil Barua,PTC INC (Parametric Technology Corp prior to 01/2013),President/CEO,9000-01-01,10,40,Executive Director
24040,2005-01-03,340655,Alan Trefler,PEGASYSTEMS INC,Chairman/CEO,9000-01-01,10,40,Executive Director
24205,2023-06-30,1710096,Patrick Lockwood-Taylor,PERRIGO COMPANY PLC (Perrigo Co prior to 12/2013),President/CEO,9000-01-01,10,40,Executive Director
817439,2009-08-06,102722,Hock Tan,BROADCOM INC (Broadcom Ltd prior to 04/2018),President/CEO,9000-01-01,10,40,Executive Director
852951,2014-01-06,1127175,Doctor Helen Torley,HALOZYME THERAPEUTICS INC,President/CEO,9000-01-01,10,40,Executive Director
897123,2016-07-01,488928,Mark Widmar,FIRST SOLAR INC,CEO,9000-01-01,10,40,Executive Director
3384931,2024-06-01,1996885,Daniel Dines,UIPATH INC,Chairman/CEO,9000-01-01,10,40,Executive Director
2825901,2023-07-01,2277545,Giordano Albertazzi,VERTIV HOLDINGS CO (GS Acquisition Holdings Corp prior to 02/2020),CEO,9000-01-01,10,40,Executive Director
2918725,2018-09-20,593280,Jeff Simmons,ELANCO ANIMAL HEALTH INC,President/CEO,9000-01-01,10,40,Executive Director
2924705,2022-03-09,1599924,Ash Kulkarni,ELASTIC NV,CEO,9000-01-01,10,40,Executive Director
2959246,2018-12-07,507530,Stéphane Bancel,MODERNA INC,CEO,9000-01-01,10,40,Executive Director
3059049,2021-01-20,2118690,Andrew Dudum,HIMS & HERS HEALTH INC (Oaktree Acquisition Corp prior to 01/2021),Chairman/CEO,9000-01-01,10,40,Executive Director
3081537,2024-05-15,1758691,Matt Bromberg,UNITY SOFTWARE INC (UNITY TECHNOLOGIES),President/CEO,9000-01-01,10,40,Executive Director
3165150,2024-12-31,2177363,Travis Dalton,CLARITEV CORP (MultiPlan Corp prior to 02/2025),Executive Chairman/President/CEO,9000-01-01,10,40,Executive Director
3198908,2022-05-09,2310470,Doctor Huang Ying,LEGEND BIOTECH CORP,CEO,9000-01-01,10,40,Executive Director
3201625,2020-06-16,1093467,Pablo Legorreta Creel,ROYALTY PHARMA PLC,Chairman/CEO,9000-01-01,10,40,Executive Director
3291073,2025-02-23,2400789,Mike Doogue,ALLEGRO MICROSYSTEMS INC,President/CEO,9000-01-01,10,40,Executive Director
3299324,2023-04-01,540927,Scott Smith,VIATRIS INC (Upjohn Inc prior to 11/2020),CEO,9000-01-01,10,40,Executive Director
2519758,2016-09-07,32603,Mike Dell,DELL TECHNOLOGIES INC,Chairman/CEO,9000-01-01,10,40,Executive Director
3463500,2025-10-17,1402205,Mark Ayranto,SILVERCO MINING LTD (Quetzal Copper Corp prior to 11/2025),President/CEO,9000-01-01,10,40,Executive Director
3469267,2025-04-28,1398426,Tim Breen,GLOBALFOUNDRIES INC,CEO,9000-01-01,10,40,Executive Director
3597877,2023-03-17,1396615,Paul Sparkes,VORTEX ENERGY CORP,CEO,9000-01-01,10,40,Executive Director
3659640,2025-08-04,1908442,Anshul Thakral,FORTREA HOLDINGS INC,President/CEO,9000-01-01,10,40,Executive Director
3684000,2023-09-14,1618087,Rene Haas,ARM HOLDINGS PLC,CEO,9000-01-01,10,40,Executive Director
3929783,2025-02-24,1621914,David Goeckeler,SANDISK CORP,Chairman/CEO,9000-01-01,10,40,Executive Director
3973318,2025-06-05,1201064,Jeremy Allaire,CIRCLE INTERNET GROUP INC,Chairman/CEO,9000-01-01,10,40,Executive Director
4004264,2025-07-31,1860271,Dylan Field,FIGMA INC,Chair/President/CEO,9000-01-01,10,40,Executive Director
2725802,2017-11-09,1488593,Doctor Cedric Francois,APELLIS PHARMACEUTICALS INC,President/CEO,9000-01-01,10,40,Executive Director
2504679,2021-08-01,982110,Doctor August Troendle,MEDPACE HOLDINGS INC,Chairman/CEO,9000-01-01,10,40,Executive Director
947629,2025-12-24,735088,Doctor Shawn Qu,CANADIAN SOLAR INC,Chairman/CEO,9000-01-01,10,40,Executive Director
1810090,2017-09-03,1197971,Badri Kothandaraman,ENPHASE ENERGY INC,President/CEO,9000-01-01,10,40,Executive Director
1560214,2019-08-03,762401,Chirag Patel,AMNEAL PHARMACEUTICALS INC (Impax Laboratories Inc prior to 05/2018),President/Co-CEO,9000-01-01,10,40,Executive Director
1560214,2019-08-03,1981116,Chintu Patel,AMNEAL PHARMACEUTICALS INC (Impax Laboratories Inc prior to 05/2018),Co-CEO,9000-01-01,10,40,Executive Director
1562505,2021-02-10,2413290,Paddy Nicol,OROGEN ROYALTIES INC (Evrim Resources Corp prior to 08/2020),President/CEO,9000-01-01,10,40,Executive Director
1606380,2013-11-11,1055310,Ken Xie,FORTINET INC,Chairman/CEO,9000-01-01,10,40,Executive Director
1635432,2010-03-24,1058303,Doctor Kishore Seendripu,MAXLINEAR INC,Chairman/President/CEO,9000-01-01,10,40,Executive Director
1656513,2025-10-28,2470210,Rafael Sotomayor,NXP SEMICONDUCTORS NV,President/CEO,9000-01-01,10,40,Executive Director
1692432,2009-07-01,1376569,George Paleologou,PREMIUM BRANDS HOLDINGS CORP (Premium Brands Income Fund prior to 07/2009),President/CEO,9000-01-01,20,40,Executive Director
1792728,2019-08-03,1706999,Mike Rosenbaum,GUIDEWIRE SOFTWARE INC,CEO,9000-01-01,10,40,Executive Director
1830138,2022-10-25,206474,Bill McDermott,SERVICENOW INC,Chairman/CEO,9000-01-01,10,40,Executive Director
1916059,2022-04-13,1114611,Mike Spreadborough,NOVO RESOURCES CORP (Galliard Resources Corp prior to 06/2011),Co-Chairman (Executive)/Acting CEO,9000-01-01,10,40,Executive Director
1921326,2025-07-01,1799113,Rob Michael,ABBVIE INC,Chairman/CEO,9000-01-01,10,40,Executive Director
1929138,2020-01-01,1074205,Kristin Peck,ZOETIS INC,CEO,9000-01-01,10,40,Executive Director
1951118,2016-10-03,33049,Ari Bousbib,IQVIA HOLDINGS INC (Quintiles IMS Holdings Inc prior to 11/2017),Chairman/President/CEO,9000-01-01,10,40,Executive Director
1959651,2023-03-22,2299828,Doctor Matthew Klein,PTC THERAPEUTICS INC,President/CEO,9000-01-01,10,40,Executive Director
2159823,2009-10-23,731568,Barry Allan,CI FIRST ASSET INVESTMENT GRADE BOND ETF (First Asset Investment Grade Bond ETF prior to 04/2019),President/CEO/Chief Investment Officer,9000-01-01,10,40,Executive Director
2204149,2015-01-02,181113,Bob Bruggeworth,QORVO INC,President/CEO,9000-01-01,10,40,Executive Director
2231001,2024-12-04,1123639,Shuki Nir,SOLAREDGE TECHNOLOGIES INC,CEO,9000-01-01,10,40,Executive Director
2292952,2020-10-01,1093063,Seth Blackley,EVOLENT HEALTH INC,CEO,9000-01-01,10,40,Executive Director
2358912,2018-02-01,1192124,Antonio Neri,HEWLETT PACKARD ENTERPRISE CO,President/CEO,9000-01-01,10,40,Executive Director
17053,2020-01-01,1198909,Doctor Brett Monia,IONIS PHARMACEUTICALS INC (Isis Pharmaceuticals Inc prior to 12/2015),CEO,9000-01-01,20,40,Executive Director
4041540,2025-11-01,1616987,Jon Kemp,QNITY ELECTRONICS INC,CEO,9000-01-01,10,40,Executive Director
4427,2022-05-10,1712387,Tom Appio,BAUSCH HEALTH COMPANIES INC (Valeant Pharmaceuticals International Inc prior to 07/2018),CEO,9000-01-01,10,40,Executive Director
1391,2011-09-16,104962,Richard Pops,ALKERMES PLC (Alkermes Inc prior to 09/2011),Chairman/CEO,9000-01-01,10,40,Executive Director
5480,2021-12-15,550037,Doctor Anirudh Devgan,CADENCE DESIGN SYSTEMS INC,President/CEO,9000-01-01,10,40,Executive Director
1573,2025-02-17,486930,Phil Brace,SKYWORKS SOLUTIONS INC (Alpha Industries prior to 6/2002),President/CEO,9000-01-01,10,40,Executive Director
2068,2013-01-01,534543,Bob Bradway,AMGEN INC,Chairman/President/CEO,9000-01-01,10,40,Executive Director
16239,2025-03-18,182411,Lip-Bu Tan,INTEL CORP,CEO,9000-01-01,10,40,Executive Director
10364,2021-08-12,1207036,Andrew Wilson,ELECTRONIC ARTS INC,Chairman/CEO,9000-01-01,10,40,Executive Director
16049,2007-02-14,376561,Howard Robin,NEKTAR THERAPEUTICS (Inhale Therapeutic Systems prior to 01/2003),President/CEO,9000-01-01,10,40,Executive Director
4354,2023-12-01,2113430,Alex Hardy,BIOMARIN PHARMACEUTICAL INC,President/CEO,9000-01-01,10,40,Executive Director
9322,2025-05-13,1962819,Gary Yu,DIODES INC,President/CEO,9000-01-01,10,40,Executive Director
6175,2015-08-01,1084894,Rob Mionis,CELESTICA INC,President/CEO,9000-01-01,10,40,Executive Director
864,2021-03-01,647302,Steve Kelley,ADVANCED ENERGY INDUSTRIES INC,President/CEO,9000-01-01,10,40,Executive Director
6495,2018-08-02,142122,Jim Foster,CHARLES RIVER LABORATORIES INTERNATIONAL INC,Chairman/President/CEO,9000-01-01,10,40,Executive Director
11375,2010-07-15,272802,Doctor Mike Morrissey,EXELIXIS INC,President/CEO,9000-01-01,10,40,Executive Director
881,2022-02-14,542142,Doctor Lisa Su,ADVANCED MICRO DEVICES INC (AMD),Chair/President/CEO,9000-01-01,10,40,Executive Director
3218,2025-07-16,46796,Doug Ingram,SAREPTA THERAPEUTICS INC (AVI BioPharma Inc prior to 07/2012),CEO,9000-01-01,10,40,Executive Director
2145,2022-03-09,35469,Vincent Roche,ANALOG DEVICES INC,Chair/President/CEO,9000-01-01,10,40,Executive Director
12102,2019-02-11,892665,Revathi Advaithi,FLEX LTD (Flextronics International Ltd prior to 09/2016),CEO,9000-01-01,10,40,Executive Director
8220,2025-05-01,1052584,Robert Feurle,WOLFSPEED INC (Cree Inc prior to 10/2021),CEO,9000-01-01,10,40,Executive Director
6905,2021-01-01,2025770,John Forsyth,CIRRUS LOGIC INC,President/CEO,9000-01-01,10,40,Executive Director
13273,2019-03-01,1015485,Daniel O'Day,GILEAD SCIENCES INC,Chairman/CEO,9000-01-01,10,40,Executive Director
5118,2024-04-01,1093830,Doctor Chris Boerner,BRISTOL-MYERS SQUIBB CO,Chairman/CEO,9000-01-01,10,40,Executive Director
3382543,2021-04-15,1275602,Adam Foroughi,APPLOVIN CORP,Chairman/CEO,2026-04-07,10,10,Executive Director
4002,2025-09-02,535295,Jeff Benck,BENCHMARK ELECTRONICS INC,CEO,2026-03-31,10,10,Executive Director
15783,2025-06-26,895019,Bill Meury,INCYTE CORP (Incyte Genomics prior to 03/2003),President/CEO,2026-03-25,10,10,Executive Director
11340,2014-03-21,513708,Kevin Conroy,EXACT SCIENCES CORP (De-listed 03/2026),Chairman/President/CEO,2026-03-23,10,10,Executive Director
3411706,2021-06-24,1808923,Edward Kreps,CONFLUENT INC (De-listed 03/2026),Chairman/CEO,2026-03-17,10,10,Executive Director
3092905,2023-04-03,1948850,Doctor Marianne De Backer,VIR BIOTECHNOLOGY INC,CEO,2026-03-04,10,10,Executive Director
2200546,2025-05-08,1760716,Joe Ciaffoni,INDIVIOR PHARMACEUTICALS INC (Indivior PLC prior to 01/2026),CEO,2026-02-03,10,10,Executive Director
2660935,2020-09-30,540099,Mark Adams,PENGUIN SOLUTIONS INC (SMART Global Holdings Inc prior to 10/2024),President/CEO,2026-02-01,10,10,Executive Director
16626,2019-01-01,556870,Sasan Goodarzi,INTUIT INC,CEO,2026-01-22,10,10,Executive Director
30509,2023-04-01,1853290,Haviv Ilan,TEXAS INSTRUMENTS INC,President/CEO,2026-01-01,10,10,Executive Director
2079,2020-06-17,1365884,Giel Rutten,AMKOR TECHNOLOGY INC,President/CEO,2025-12-31,10,10,Executive Director
947629,2020-09-29,735088,Doctor Shawn Qu,CANADIAN SOLAR INC,Chairman/President/CEO,2025-12-24,10,10,Executive Director
3626382,2023-03-20,2708363,Peter Hogendoorn,SAGE POTASH CORP,Chairman (Executive)/CEO,2025-11-05,10,10,Executive Director
1656513,2025-04-28,1096978,Kurt Sievers,NXP SEMICONDUCTORS NV,CEO,2025-10-28,10,10,Executive Director
3394496,2021-05-14,2489439,Kevin Ali,ORGANON & CO,CEO,2025-10-26,10,10,Executive Director
27411,2017-10-01,547579,Doctor Dave Mosley,SEAGATE TECHNOLOGY HOLDINGS PLC (Seagate Technology PLC prior to 05/2021),CEO,2025-10-25,10,10,Executive Director
3463500,2024-03-12,2818371,Matt Badiali,SILVERCO MINING LTD (Quetzal Copper Corp prior to 11/2025),CEO,2025-10-17,10,10,Executive Director
23295,2019-10-18,33503,Safra Catz,ORACLE CORP,CEO,2025-09-22,10,10,Executive Director
31454,2014-01-01,321651,Tom Edman,TTM TECHNOLOGIES INC,President/CEO,2025-09-02,10,10,Executive Director
488272,2025-03-04,480400,Clarence Granger,ULTRA CLEAN HOLDINGS INC,Chairman/Interim CEO,2025-09-02,10,10,Executive Director
4002,2019-03-18,535295,Jeff Benck,BENCHMARK ELECTRONICS INC,President/CEO,2025-09-02,10,10,Executive Director
488479,2009-04-03,183256,Bruce Cozadd,JAZZ PHARMACEUTICALS PLC,Chairperson/CEO,2025-08-11,10,10,Executive Director
3659640,2025-05-13,201622,Peter Neupert,FORTREA HOLDINGS INC,Chair/Interim CEO,2025-08-04,10,10,Executive Director
2125688,2020-12-15,345845,Professor Barry Greene,SAGE THERAPEUTICS INC (De-listed 07/2025),President/CEO,2025-07-31,10,10,Executive Director
29774,2024-06-13,1096288,Vincent Pilette,GEN DIGITAL INC (NortonLifeLock Inc prior to 11/2022),President/CEO,2025-07-17,10,10,Executive Director
2257,2017-01-01,545851,Doctor Ajei Gopal,ANSYS INC (De-listed 07/2025),President/CEO,2025-07-17,10,10,Executive Director
3218,2017-06-26,46796,Doug Ingram,SAREPTA THERAPEUTICS INC (AVI BioPharma Inc prior to 07/2012),President/CEO,2025-07-16,10,10,Executive Director
19750,2023-06-16,761557,Matt Murphy,MARVELL TECHNOLOGY INC (Marvell Technology Group Ltd prior to 04/2021),Chairman/President/CEO,2025-07-15,10,10,Executive Director
20566,2024-11-18,61502,Steve Sanghi,MICROCHIP TECHNOLOGY INC,Chair/Interim President/CEO,2025-07-02,10,10,Executive Director
1921326,2024-07-01,1799113,Rob Michael,ABBVIE INC,CEO,2025-07-01,10,10,Executive Director
15783,2023-06-05,1249099,Hervé Hoppenot,INCYTE CORP (Incyte Genomics prior to 03/2003),Chairman/CEO,2025-06-26,10,10,Executive Director
22589,2023-11-20,2107029,John Jacobs,NOVAVAX INC,Co-President/CEO,2025-06-20,10,10,Executive Director
23141,2024-06-24,601215,Wayne Pisano,ONCOLYTICS BIOTECH INC,Chair/Interim CEO,2025-06-11,10,10,Executive Director
9322,2024-01-02,34717,Doctor Keh-Shew Lu,DIODES INC,Chairman/CEO,2025-05-13,10,10,Executive Director
3659640,2023-06-30,1010281,Tom Pike,FORTREA HOLDINGS INC,Chairman/President/CEO,2025-05-13,10,10,Executive Director
2200546,2020-06-29,1491972,Mark Crossley,INDIVIOR PLC,CEO,2025-05-08,10,10,Executive Director
1656513,2020-05-27,1096978,Kurt Sievers,NXP SEMICONDUCTORS NV,President/CEO,2025-04-28,10,10,Executive Director
3469267,2021-10-28,453077,Doctor Tom Caulfield,GLOBALFOUNDRIES INC,President/CEO,2025-04-28,10,10,Executive Director
1649258,2013-10-01,508234,Antonio Pietri,ASPEN TECHNOLOGY INC (De-listed 03/2025),President/CEO,2025-03-12,10,10,Executive Director
488272,2017-10-02,321685,Jim Scholhamer,ULTRA CLEAN HOLDINGS INC,CEO,2025-03-04,10,10,Executive Director
33382,2020-03-09,1621914,David Goeckeler,WESTERN DIGITAL CORP,CEO,2025-02-24,10,10,Executive Director
3291073,2022-06-13,1754265,Vineet Nargolwala,ALLEGRO MICROSYSTEMS INC,President/CEO,2025-02-23,10,10,Executive Director
23141,2017-01-19,790419,Doctor Matt Coffey,ONCOLYTICS BIOTECH INC,President/CEO,2025-02-07,10,10,Executive Director
21710,2023-10-16,2295328,David Wilkinson,NCR VOYIX CORP (NCR Corp prior to 10/2023),CEO,2025-02-04,10,10,Executive Director
1573,2021-05-13,327486,Liam Griffin,SKYWORKS SOLUTIONS INC (Alpha Industries prior to 6/2002),Chairman/President/CEO,2025-02-04,10,10,Executive Director
462108,2019-08-19,1302499,Mike Hurlston,SYNAPTICS INC,President/CEO,2025-02-03,10,10,Executive Director
20589,2017-05-08,205405,Sanjay Mehrotra,MICRON TECHNOLOGY INC,President/CEO,2025-01-16,10,10,Executive Director
3165150,2024-03-01,2177363,Travis Dalton,CLARITEV CORP (MultiPlan Corp prior to 02/2025),President/CEO,2024-12-31,10,10,Executive Director
24637,2022-01-26,549027,Todd Kelsey,PLEXUS CORP,CEO,2024-12-28,10,25,Executive Director
2129696,2022-07-01,1779146,Alessandro Maselli,CATALENT INC (De-listed 12/2024),President/CEO,2024-12-18,10,10,Executive Director
16239,2021-02-15,486395,Doctor Pat Gelsinger,INTEL CORP,CEO,2024-12-01,10,10,Executive Director
8220,2017-09-27,34852,Gregg Lowe,WOLFSPEED INC (Cree Inc prior to 10/2021),President/CEO,2024-11-18,10,10,Executive Director
20566,2021-03-01,61667,Ganesh Moorthy,MICROCHIP TECHNOLOGY INC,President/CEO,2024-11-18,10,10,Executive Director
3449260,2024-06-17,1122129,Mike Sutcliff,THOUGHTWORKS HOLDING INC (De-listed 11/2024),President/CEO,2024-11-13,10,10,Executive Director
21929,2017-11-20,206587,Doctor Kevin Gorman,NEUROCRINE BIOSCIENCES INC,President/CEO,2024-10-11,10,10,Executive Director
23786,2024-02-14,544533,Neil Barua,PTC INC (Parametric Technology Corp prior to 01/2013),CEO,2024-10-01,10,10,Executive Director
105052,2023-06-01,339859,Steve Davis,ACADIA PHARMACEUTICALS INC,President/CEO,2024-09-23,20,10,Executive Director
2231001,2020-02-19,1449249,Zvi Lando,SOLAREDGE TECHNOLOGIES INC,CEO,2024-08-26,10,10,Executive Director
27081,2022-01-13,647592,Lino Saputo Jr,SAPUTO INC,Chairman/President/CEO,2024-08-09,10,10,Executive Director
1921326,2013-01-02,33494,Rick Gonzalez,ABBVIE INC,Chairman/CEO,2024-07-01,10,10,Executive Director
3449260,2021-09-15,1975125,Guo Xiao,THOUGHTWORKS HOLDING INC (De-listed 11/2024),President/CEO,2024-06-17,10,10,Executive Director
29774,2019-12-19,1096288,Vincent Pilette,GEN DIGITAL INC (NortonLifeLock Inc prior to 11/2022),CEO,2024-06-13,10,10,Executive Director
16949,2021-05-04,552052,Doctor Eugene Scherbakov,IPG PHOTONICS CORP,CEO,2024-06-05,10,10,Executive Director
3384931,2024-02-01,1112822,Rob Enslin,UIPATH INC,CEO,2024-06-01,10,10,Executive Director
17238,2023-05-01,1996477,Kenny Wilson,JABIL INC (Jabil Circuit Inc prior to 06/2017),CEO,2024-05-18,10,10,Executive Director
3081537,2023-10-09,333755,Jim Whitehurst,UNITY SOFTWARE INC (UNITY TECHNOLOGIES),President/Interim CEO,2024-05-15,10,10,Executive Director
5118,2023-11-01,1093830,Doctor Chris Boerner,BRISTOL-MYERS SQUIBB CO,CEO,2024-04-01,10,10,Executive Director
1813585,2022-04-11,1252966,Gary Steele,SPLUNK INC (De-listed 03/2024),President/CEO,2024-03-18,10,10,Executive Director
3463500,2021-10-15,2545410,Roger Milad,SILVERCO MINING LTD (Quetzal Copper Corp prior to 11/2025),CEO/CFO,2024-03-12,10,10,Executive Director
3165150,2022-01-31,1310255,Dale White,MULTIPLAN CORP (Churchill Capital Corp III prior to 10/2020),President/CEO,2024-03-01,10,10,Executive Director
23786,2023-07-27,203273,Jim Heppelmann,PTC INC (Parametric Technology Corp prior to 01/2013),Chairman/CEO,2024-02-14,10,10,Executive Director
23786,2023-07-27,544533,Neil Barua,PTC INC (Parametric Technology Corp prior to 01/2013),CEO-Elect,2024-02-14,10,10,Executive Director
30123,2014-04-01,1134582,Chuck Kummeth,BIO-TECHNE CORP (Techne Corp prior to 11/2014),President/CEO,2024-02-01,10,10,Executive Director
3384931,2022-05-16,1996885,Daniel Dines,UIPATH INC,Chair/Co-CEO,2024-01-31,10,10,Executive Director
9322,2020-05-18,34717,Doctor Keh-Shew Lu,DIODES INC,Chairman/President/CEO,2024-01-02,10,10,Executive Director
29816,2022-04-30,64702,Doctor Aart De Geus,SYNOPSYS INC,Chairman/CEO,2024-01-01,10,10,Executive Director
27435,2022-11-09,657839,David Epstein,SEAGEN INC (Seattle Genetics Inc prior to 10/2020) (De-listed 12/2023),CEO,2023-12-14,10,10,Executive Director
26104,2023-11-04,516742,Dick Lynch,BLACKBERRY LTD (Research In Motion Ltd prior to 07/2013),Chair/Interim CEO,2023-12-11,10,10,Executive Director
4354,2015-06-09,183266,Jean-Jacques Bienaimé,BIOMARIN PHARMACEUTICAL INC,Chairman/President/CEO,2023-11-30,10,10,Executive Director
22589,2023-01-23,2107029,John Jacobs,NOVAVAX INC,President/CEO,2023-11-20,10,10,Executive Director
26104,2013-11-04,141731,John Chen,BLACKBERRY LTD (Research In Motion Ltd prior to 07/2013),Chairman (Executive)/CEO,2023-11-04,10,10,Executive Director
5118,2017-05-02,857412,Doctor Giovanni Caforio,BRISTOL-MYERS SQUIBB CO,Chairman/CEO,2023-11-01,10,10,Executive Director
21710,2021-08-16,536199,Mike Hayford,NCR VOYIX CORP (NCR Corp prior to 10/2023),CEO,2023-10-16,10,10,Executive Director
725,2017-06-26,69696,Bobby Kotick,ACTIVISION BLIZZARD INC (De-listed 10/2023),CEO,2023-10-13,10,10,Executive Director
21606,2020-02-01,889340,Eric Starkloff,NATIONAL INSTRUMENTS CORP (De-listed 10/2023),President/CEO,2023-10-11,10,10,Executive Director
3081537,2020-09-18,47756,John Riccitiello,UNITY SOFTWARE INC (UNITY TECHNOLOGIES),Chairman (Executive)/President/CEO,2023-10-09,10,10,Executive Director
