directorid,directorname,companyname,qualification,fulltextdescription,primarykeyid,companyid,awarddate,awarddateflag
201598,John Higgins,Colgate University,AB (magna cum laude),,184160,60399,1992-05-28,15
202078,John Evans,University of Pennsylvania,MS,,533099,62579,2003-12-28,25
202078,John Evans,Yale University,BA,,533098,62981,1999-12-28,25
202078,John Evans,Wharton School (The) University of Pennsylvania,MBA,,533100,64966,2005-12-28,25
202310,John Flannery Jr,Fairfield University,BS,,182635,39472,1983-12-31,25
202310,John Flannery Jr,Wharton School (The) University of Pennsylvania,MBA,,182636,64966,1987-12-31,25
202679,Frank Williams,University of California Berkeley,BA,,183077,62215,1988-12-31,25
202679,Frank Williams,Harvard Business School Harvard University,MBA,,183078,63013,1995-12-28,25
202998,Irwin Simon,Saint Mary's University,BComm,,184980,491618,1979-12-31,25
203131,Doctor John Fan,University of California Berkeley,BS (Hons),,183539,62215,1966-12-31,25
203131,Doctor John Fan,Harvard University,PhD,,183538,63830,1972-12-31,25
203131,Doctor John Fan,Harvard University,MS,,295244,63830,1967-12-31,25
203653,Richard King,University of Surrey,BSc,,251975,62712,1986-12-28,25
203653,Richard King,Alliance Manchester Business School University of Manchester (The),MBA,,251976,63133,1988-12-28,25
203663,Greg Hayes,Krannert School of Management Purdue University,BA,,487559,79841,1982-12-31,25
203663,Greg Hayes,American Institute of Certified Public Accountants (AICPA),Certified Public Accountant,,487561,54373,9999-12-31,80
205267,J Buchi,Cornell University  New York,BA,,321773,60457,1977-12-31,25
205267,J Buchi,Kellogg School of Management Northwestern University,MBA,,321771,77878,1982-12-31,25
205267,J Buchi,American Institute of Certified Public Accountants (AICPA),Certified Public Accountant,,321772,54373,9999-12-31,80
205405,Sanjay Mehrotra,Stanford Graduate School of Business,Executive Program,,4306628,67360,9999-12-31,80
205405,Sanjay Mehrotra,University of California Berkeley,BS,,185632,62215,1978-12-28,25
205405,Sanjay Mehrotra,University of California Berkeley,MS,,185633,62215,1980-12-28,25
205405,Sanjay Mehrotra,Birla Institute of Technology & Science (BITS) India,Graduated,,3363311,468626,9999-12-31,80
205915,David Southwell,Rice University,BA,,185931,61692,1984-12-28,25
205915,David Southwell,Tuck School of Business Dartmouth,MBA,,185930,632975,1988-12-31,25
206108,Joe Papa Jr,School of Pharmacy University of Connecticut,Doctor of Science,,3450799,1381450,2012-12-28,25
206108,Joe Papa Jr,Kellogg School of Management Northwestern University,MBA,,185922,77878,1983-12-31,25
206108,Joe Papa Jr,University of Connecticut (UCONN),BS,,185923,62265,1980-12-31,25
206431,Dan Bradbury,University of Nottingham,BPharm,,186059,625151,1983-12-28,25
206431,Dan Bradbury,University of West London (UWL) (Formerly known as Thames Valley University),Post Graduate Diploma,,4323892,38777,1985-12-28,25
206431,Dan Bradbury,Chartered Institute of Marketing (CIM) (UK),Diploma,,4323899,38129,1985-12-28,25
206431,Dan Bradbury,Institut Europeen d'Administration des Affaires (INSEAD) (European Institute of Business Administration),International Executive Program,,4241085,60651,1994-12-28,25
206431,Dan Bradbury,Harrow College,Diploma,,316801,64350,9999-12-31,80
206431,Dan Bradbury,Ealing College,Diploma,,1484518,550777,9999-12-31,80
206431,Dan Bradbury,University of California Los Angeles (UCLA),Director Certification Program (DCP),,4323901,62218,2004-12-28,25
206520,Mohan Maheswaran,Henley Business School University of Reading,MBA,,280371,796130,9999-12-31,80
206520,Mohan Maheswaran,University of Surrey,BSEE,,280370,62712,1984-12-31,25
206797,Ramesh Srinivasan,Indian Institute of Management Bangalore (IIMB),MBA,,186176,493752,1984-12-28,25
206797,Ramesh Srinivasan,Indian Institute of Technology Banaras Hindu University (IIT-BHU),BTech,,186175,1474980,1982-12-31,25
206797,Ramesh Srinivasan,Harvard Business School Harvard University,Advanced Management Program,,2344435,63013,2010-12-28,25
206797,Ramesh Srinivasan,Harvard Business School Harvard University,Certified,,2344436,63013,2003-12-28,25
206967,Lee Chen,San Jose State University,MSEE,,186260,61780,1982-12-28,25
206967,Lee Chen,National Chiao Tung University,BS,,641787,81969,1976-12-28,25
207017,Steve Hurst,Golden Gate University,JD,,574949,60763,1984-12-28,25
207017,Steve Hurst,University of California Berkeley,BS,,574948,62215,1978-12-28,25
210035,Doctor Paul Friedman,Princeton University,AB,,230041,61632,1964-12-31,25
210035,Doctor Paul Friedman,American Board of Internal Medicine (ABIM),Certified,,2738831,36377,1974-12-28,25
210035,Doctor Paul Friedman,Harvard Medical School Harvard University,MD,,230040,63348,1969-12-31,25
220476,Mike Cola,University of Pennsylvania,Doctorate,,354841,62579,9999-12-31,80
220476,Mike Cola,Ursinus College,BA,,310457,99032,1981-12-31,25
220476,Mike Cola,Drexel University (Formerly known as Drexel Institute of Technology),MS,,310458,60542,9999-12-31,80
270725,Doctor John Alam,Massachusetts Institute of Technology (MIT),BS,,250705,40436,1982-12-28,25
270725,Doctor John Alam,Northwestern University Medical School,MD,,250704,460048,1986-12-28,25
270780,John Hendrickson,Hope College,BS,,673804,81249,1983-12-28,25
270780,John Hendrickson,University of Notre Dame,MBA,,673806,62544,1994-12-28,25
270780,John Hendrickson,University of Michigan,BSE,,673805,63187,1985-12-28,25
270833,Ian Smith,American Institute of Certified Public Accountants (AICPA),Certified Public Accountant,,250803,54373,9999-12-31,80
270833,Ian Smith,Institute of Chartered Accountants in England and Wales (ICAEW),Chartered Accountant,,439905,36362,9999-12-31,80
270833,Ian Smith,Manchester Metropolitan University,BA (Hons),,250802,61217,1987-12-31,25
272659,Don Charron,South Dakota School of Mines and Technology,BS,,531042,626268,1987-12-28,25
272786,Doctor George Scangos,Cornell University  New York,BA,,253345,60457,1970-12-28,25
272786,Doctor George Scangos,University of Massachusetts,PhD,,253346,63512,1977-12-28,25
274872,Doctor Peter Kirlin,Pennsylvania State University (Penn State University),BS,,255353,61582,1980-12-31,25
274872,Doctor Peter Kirlin,University of Delaware,PhD,,255355,79387,9999-12-31,80
275263,Jim Kelly,University of Massachusetts Amherst (UMA),Graduated,,576023,62456,9999-12-31,80
275263,Jim Kelly,American Institute of Certified Public Accountants (AICPA),Certified Public Accountant,,576024,54373,9999-12-31,80
275561,Phil Pead,University of London,BS,,256364,62421,1974-12-31,25
275561,Phil Pead,Harrow College,Diploma,,1242566,64350,9999-12-31,80
275671,Max Carnecchia,Stevens Institute of Technology (SIT),BE,,256140,61960,1984-12-31,25
320726,Doctor Stanley Crooke,Baylor College of Medicine,MD,,256795,82819,1974-12-31,25
320726,Doctor Stanley Crooke,Butler University,BS,,290791,79061,1969-12-31,25
320726,Doctor Stanley Crooke,Baylor College of Medicine,PhD,,256796,82819,1971-12-31,25
321160,David Dodd,Harvard Business School Harvard University,Advanced Management Program,,257291,63013,1999-12-28,25
321160,David Dodd,Georgia State University (GSU),MS,,257290,60755,1972-12-31,25
321160,David Dodd,Georgia State University (GSU),BS,,257289,60755,1971-12-31,25
322268,Eric Mendelson,Columbia College Columbia University,AB,,290448,60432,1987-12-31,25
322268,Eric Mendelson,Columbia University,MBA,,290449,60434,1989-12-28,25
322269,Victor Mendelson,Columbia College Columbia University,AB,,290636,60432,1989-12-31,25
322269,Victor Mendelson,School of Law University of Miami,JD,,290637,460566,1992-12-28,25
322658,Jim Neal,University of Manitoba,MS,,291587,62443,1982-12-28,25
322658,Jim Neal,Olin Business School Washington University (John M Olin School of Business),Executive MBA,,291589,82506,1992-12-28,25
322658,Jim Neal,University of Manitoba,BS,,291586,62443,1977-12-31,25
323115,Amy Miles,University of Tennessee Knoxville,Graduated,,3449084,62733,1989-12-28,25
325528,Paul Hastings,University of Rhode Island (URI),BS,,447023,62631,1984-12-28,25
325528,Paul Hastings,Unknown Organisation,MBA,,522491,0,9999-12-31,80
327474,Dave Aldrich,Providence College,BS,,482454,61633,1979-12-31,25
327474,Dave Aldrich,University of Rhode Island (URI),MBA,,482456,62631,1981-12-31,25
328138,Doctor Emil Kakkis,University of California Los Angeles (UCLA),MD,,297665,62218,9999-12-31,80
328138,Doctor Emil Kakkis,UCLA School of Medicine,Fellow,,297661,532558,1994-12-31,25
328138,Doctor Emil Kakkis,University of California Los Angeles (UCLA),PhD,,297664,62218,1989-12-28,25
328138,Doctor Emil Kakkis,Pomona College,BA (magna cum laude),,297663,61610,1982-12-28,25
328142,Doctor Jim Bianco,Icahn School of Medicine at Mount Sinai (ISMMS),MD,,297429,54296,1983-12-28,25
328142,Doctor Jim Bianco,New York University (NYU),BS,,297428,61424,1979-12-28,25
328644,Doctor Werner Cautreels,Harvard Business School Harvard University,Executive MBA,,496690,63013,2000-12-28,25
328644,Doctor Werner Cautreels,Universiteit Antwerpen (University of Antwerp),MS,,357716,62154,9999-12-31,80
328644,Doctor Werner Cautreels,Universiteit Antwerpen (University of Antwerp),PhD,,311107,62154,1978-12-28,25
328644,Doctor Werner Cautreels,Universiteit Antwerpen (University of Antwerp),BS,,357714,62154,1974-12-31,25
330139,Doctor Roger Jeffs,School of Medicine University of North Carolina Chapel Hill,PhD,,311529,1195730,1991-12-28,25
330139,Doctor Roger Jeffs,Duke University,BA,,1586933,60547,1984-12-28,25
330840,John Kelley,Rockhurst University,MBA,,316573,79259,1987-12-28,25
330840,John Kelley,Wilkes University,BA,,316572,101787,1974-12-31,25
331171,Dan Brdar,University of Pittsburgh,BS,,312265,62593,1981-12-31,25
333713,Steve Willard,Williams College,BA,,316622,62961,1982-12-31,25
333713,Steve Willard,Yale Law School,JD,,316621,63066,1985-12-31,25
334242,Doctor Georges Gemayel,Université Paris-Sud 11 (Paris-Sud 11 University),PhD,,495106,75788,1987-12-28,25
334242,Doctor Georges Gemayel,St Joseph University Beirut,Doctorate,,495107,820838,1983-12-28,25
334242,Doctor Georges Gemayel,Université Paris-Sud 11 (Paris-Sud 11 University),DEA,,1584997,75788,1987-12-28,25
334443,Steve Aselage,University of Notre Dame,BS,,316700,62544,1973-12-28,25
334492,Bob Coleman,Clarion University of Pennsylvania,BS,,1589826,485201,9999-12-31,80
335014,Doctor Philippe Calais,Université Pierre et Marie Curie - Paris 6 (UPMC) (University of Pierre and Marie Curie - Paris 6),Degree,,1194584,64535,9999-12-31,80
335014,Doctor Philippe Calais,Lycée Louis Thullier France,BS,,342671,638126,1980-12-31,25
335014,Doctor Philippe Calais,Université Francois-Rabelais Tours (Francois-Rabelais Tours University),PhD (Hons),,317727,63501,1987-12-31,25
335014,Doctor Philippe Calais,Institut Europeen d'Administration des Affaires (INSEAD) (European Institute of Business Administration),Attended,,1194585,60651,9999-12-31,80
335115,John Plant,University of Birmingham,BCom,,958856,62192,1975-12-28,25
336134,Doctor Kevin Koch,State University of New York Stony Brook,BS,,318653,461269,1983-12-28,25
336134,Doctor Kevin Koch,University of Rochester,PhD,,318654,62633,1988-12-28,25
336983,John Tucker,Southern New Hampshire University (New Hampshire College prior to 07/2001),MBA,,319693,492266,9999-12-31,80
336983,John Tucker,Plymouth State University (Plymouth State College prior to 2003),BA,,319694,61597,1985-12-31,25
337293,Russ Trenary III,Miami University Ohio,BSBA,,320036,61276,1979-12-28,25
337293,Russ Trenary III,Michigan State University (MSU),MBA,,320037,61278,1981-12-28,25
338409,Rod de Greef,University of Oregon,MBA,,321335,62552,1993-12-31,25
338409,Rod de Greef,San Francisco State University,BA,,321334,61777,1983-12-31,25
338750,Dan Passeri,Northeastern University,BS,,321705,61472,1980-12-31,25
338750,Dan Passeri,Imperial College London (The Imperial College of Science Technology and Medicine),MSc,,321703,63104,9999-12-31,80
338750,Dan Passeri,George Washington National Law Center,JD,,321701,383487,1994-12-31,25
338828,Mike Gray,FW Olin Graduate School of Business Babson College,MBA,,321759,1334407,2001-12-28,25
338828,Mike Gray,Bryant University,BS,,321752,813619,1993-12-28,25
338828,Mike Gray,American Institute of Certified Public Accountants (AICPA),Certified Public Accountant,,321760,54373,9999-12-31,80
339679,Sabrina Johnson,University of London,MSc,,322826,62421,1989-12-28,25
339679,Sabrina Johnson,Tulane University,BSc (magna cum laude),,326222,62098,1986-12-31,25
339679,Sabrina Johnson,American Graduate School of International Management (Thunderbird),Master of International Management (MIM),,322825,44551,1992-12-28,25
339679,Sabrina Johnson,University College London (UCL),MSc,,4340866,62247,1989-12-28,25
340602,Larry Kenyon,American Institute of Certified Public Accountants (AICPA),Certified Public Accountant,,324166,54373,9999-12-31,80
340602,Larry Kenyon,University of Wisconsin,BBA,,324168,63062,1987-12-31,25
340835,Geoff Rotstein,University of Western Ontario (Western University),BA,,2671070,880267,1990-12-28,25
340835,Geoff Rotstein,Canadian Institute of Chartered Accountants (CICA),Chartered Accountant,,324513,56019,1993-12-31,25
340835,Geoff Rotstein,Schulich School of Business York University,MBA,,324514,622327,1992-12-28,25
340987,Jennifer Good,Pacific Lutheran University (PLU),BBA,,325689,114017,1987-12-28,25
340987,Jennifer Good,American Institute of Certified Public Accountants (AICPA),CPA,,583355,54373,9999-12-31,80
341262,David Raun,Harvard University,Studied,,325207,63830,1997-12-28,25
341262,David Raun,University of California Santa Barbara (UCSB),BSEE,,325206,62214,1984-12-31,25
341267,Doctor Richard Miller,State University of New York (SUNY),MD (Summa cum laude),,325030,61939,1975-12-28,25
341267,Doctor Richard Miller,American Board of Internal Medicine (ABIM),Certified in Internal Medicine,,343552,36377,1978-09-13,10
341267,Doctor Richard Miller,American Board of Internal Medicine (ABIM),Certified in Medical Oncology,,343553,36377,1981-11-10,10
341907,Chris Schade,Wharton School (The) University of Pennsylvania,MBA,,326061,64966,9999-12-31,80
341907,Chris Schade,Princeton University,AB,,326059,61632,1982-12-31,25
341985,George Macricostas,Western Connecticut State University,BBA,,326970,484754,1991-12-31,25
342318,Doctor Chris Schaber,Regulatory Affairs Professionals Society (RAPS),Certificate,Regulatory Affairs Certification,326653,607366,9999-12-31,80
342318,Doctor Chris Schaber,Temple University,MS,,326646,62035,9999-12-31,80
342318,Doctor Chris Schaber,McDaniel College (Formerly known as Western Maryland College),BA,,326645,820776,1988-12-31,25
342318,Doctor Chris Schaber,Union Graduate College (Ceased Trading 02/2016),PhD,,326648,880365,2003-07-28,15
342561,Ron Bentsur,Leonard N Stern School of Business New York University,MBA (magna cum laude),,340526,42226,9999-12-31,80
342561,Ron Bentsur,Hebrew University of Jerusalem,BA (Distinction),,340523,43828,1987-12-31,25
342627,Doctor Mitchell Steiner,American College of Surgeons,Fellow,,351851,111207,2000-10-28,15
342627,Doctor Mitchell Steiner,University of Tennessee,MD (Hons),,327022,64218,1986-12-31,25
342627,Doctor Mitchell Steiner,Vanderbilt University,BA (magna cum laude),,327021,62843,1982-12-31,25
342627,Doctor Mitchell Steiner,American Board of Urology,Diplomat,,348253,257457,1997-02-28,15
342690,Professor Doctor Jonathan Javitt,American Academy of Ophthalmology,Fellow,,3077169,100147,1989-11-28,15
342690,Professor Doctor Jonathan Javitt,Johns Hopkins University,Graduated,,3075686,61026,1988-12-28,25
342690,Professor Doctor Jonathan Javitt,National Board of Medical Examiners (NBMA) (USA),Certified,,3077167,36776,1983-03-28,15
342690,Professor Doctor Jonathan Javitt,Princeton University,AB (Hons),,327144,61632,1978-12-31,25
342690,Professor Doctor Jonathan Javitt,Weill Cornell Medical College (Cornell University Medical College prior to 1998),MD,,327145,886858,1982-12-28,25
342690,Professor Doctor Jonathan Javitt,Harvard School of Public Health,MPH,,327146,63160,1984-12-28,25
342690,Professor Doctor Jonathan Javitt,American Board of Ophthalmology,Certified,,3077166,626261,1989-03-28,15
343010,Doctor Carl Spana,State University of New Jersey Rutgers (Rutgers University),BS,,327494,100431,1984-12-28,25
343010,Doctor Carl Spana,Johns Hopkins University,PhD,,327492,61026,1990-12-31,25
343663,Tony Reardon,Northern Illinois University (NIU),Graduated,,1822637,61475,9999-12-31,80
343663,Tony Reardon,Loras College,BA,,1822636,131791,1972-12-28,25
